Message,Label
"Free entry in 2 a wkly comp to win FA Cup tickets","Spam"
"U dun say so early hor... U c already then say...","Ham"
"Nah I don't think he goes to usf, he lives around here though","Ham"
"FreeMsg Hey there darling it's been 3 week's now","Spam"
"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!","Spam"
"I'm gonna be home soon and I don't want to talk about this stuff anymore tonight","Ham"
"SIX chances to win CASH! From 100 to 20,000 pounds","Spam"
"I HAVE A DATE ON SUNDAY WITH WILL!!","Ham"
"XXXMobileMovieClub: To use your credit, click the WAP link now!!","Spam"
"Oh k...i'm watching here:)","Ham"
"U will win $1000 cash or a $5000 prize!","Spam"
"I'm just tired. I haven't slept well the past few nights","Ham"
"URGENT! Your mobile number was awarded a prize!","Spam"
"Call me when you finish work","Ham"
"Claim your reward by texting CLAIM to 12345 now!","Spam"
"Haha awesome, be there in a minute","Ham"
"Congratulations! You’ve won a free ticket!","Spam"
"What’s up? Can we talk now?","Ham"
"You’ve been selected to win a free cruise!","Spam"
"Are we meeting at 6 or 7?","Ham"
